title,content
计算机考研408难吗？学到什么程度才能考130?,408考110-120不难，但是要上130+，还是比较难的。它这个东西其实很抽象，每年出题组老师也不固定，导致试卷风格千奇百怪， 为了让这150分显得更超值、更能刷人，真的是无所不用其极，一道题就覆盖穿插多个考点，而且考试的时候你会发现有的知识点居然没复习过？平时书中都没有写的，就这么莫名其妙出现在眼前，你慌不慌。很多人刚开始看408都发懵，感觉无从下手，冗余杂乱给人一种劝退的冲动，出现这种情况很正常，我建议你按照 …阅读全文​
计算机考研 408 统考该如何准备？,计算机考研与跨考live已建立，和大家分享一些共性问题，大部分考研过程中都会碰到的关卡，怎么去巧妙应对。 计算机考研与跨考的那些疑惑 今年刚考完，跨专业零基础 四个半月复习时间 成绩出来再来更新 【置顶】鉴于国内高等教育环境持续恶化，在国内读研其实并不是一个多好的选择。【置顶】鉴于考研形势日趋紧迫，复习得越全面越好，项目越多越好，代码能力越强越好...…必须承认我是沾了点运气的，不值得效仿…2017.03 PS:复试后…阅读全文​
计算机考研究竟有多难呢？,计算机考研，最大的难点在于 择校。比如21年科软直接炸了，甚至初试400+含泪调剂。 作为工科中考研最卷的专业，在不同学校之间，也存在大卷、中卷和小卷。你要做的就是去找到适合你的小卷。 正确的考研择校的逻辑是怎样的？ 数据驱动的，个人能力和院校水平的合理性匹配过程。不以数据驱动的择校，就是拍脑门。 不合理的匹配，要么浪费分数，要么含泪二战。 考研择校没有通解，个体因素和环境因素都不一样，不要想着抄答案。 我…阅读全文​
计算机考研究竟有多难？,计算机考研，最大的难点在于择校。 比如21年科软直接炸了，甚至初试400+含泪调剂。 作为工科中考研最卷的专业，在不同学校之间，也存在大卷、中卷和小卷。你要做的就是去找到适合你的小卷。 正确的考研择校的逻辑是怎样的？ 数据驱动的，个人能力和院校水平的合理性匹配过程。不以数据驱动的择校，就是拍脑门。 不合理的匹配，要么浪费分数，要么含泪二战。 考研择校没有通解，个体因素和环境因素都不一样，不要想着抄答案。 我…阅读全文​
工科到底该选什么专业呢?,秋招后回答 第一梯队：集成电路 第1.5梯队：计算机，能源，车辆，通信 第二梯队：自动化，机械，材料（半导体），化学（电池方向） 第三梯队：土木，生化环材 金融不了解 各位，时代已经变了，承认时代变了就这么难吗？未来的方向不就是芯片新能源汽车人工智能，这都写到方案规划里了你还在那给我装，这中间ai那么卷你卷个毛线？ 还搁这给我吹计算机，你经历过秋招没有，今年集成电路泥电薪资多少网上查查，计算机薪资多少再查查…阅读全文​
24考研计算机11408，从今年三月份开始复习来得及吗？其中高数上已经快复习完一遍?,今年3月开始备考11408这个起点是正常的，能否来得及取决于你每天投入几个小时学习： 如果每天学习3.4小时，那可能来不及，毕竟数学一、英语一，专业课408又四门课，复习量很大！如果每天学习6.7小时以上，那肯定来得及的，并且还能复习得很好！ [图片] 408基本信息介绍：计算机基础综合 408 满分 150 分，考试时间 3 个小时。数据结构占 45 分 计算机组成原理占 45 分操作系统占 35 分计算机网络占 25 分40 道单选，每道 2 分，单选共 8…阅读全文​
2023考研计算机哪些学校可能会炸？,先说结论： 会炸的学校有：武大计院、武大网安、华科计院、复旦计院、复旦软院、中山计院，电子科大，厦大计院；此外原回答中也有不推荐报考的学校没写在会炸里，因为剩余的几所学校是否推荐报考 和是否爆炸关系不大 推荐报考的数一+408：中科院计算所，华科网安，华科软院，华南理工； 推荐报考的数二+408：中科院信工所，中科院软件所，中科大先研院，复旦工研院，科软，北理工计算机； 推荐报考的自命题：浙大软院，中南，西…阅读全文​
普通二本，计算机专业，有什么考研学校推荐吗？或者有什么建议吗？,我个人比较推荐福建师范大学，二本出身计算机专业无论是考本专业还是跨考其他专业，考这所学校的性价比还是比较高的。福师大的考题难度相对较低，师资雄厚。福州又位于沿海，经济发达，生活条件舒适，冬季不会太冷，夏季不会太热，绿化到位，是宜居城市。如果说有什么建议，我觉得如果你一次考研没有上岸，可以考虑第二次选择在职研究生，现在在职的含金量也是很高的。如果一次上岸，必然要努力珍惜机会，好好读研。最近我听了一…阅读全文​
计算机考研408难吗？学到什么程度才能考130?,408真的太难了，知识点超级多，题目灵活，数据结构、计算机网络、操作系统、计算机组成系统这四门课随便拿出来一门都可以出一套独立的考研卷，别说是跨考的，就连计算机科班出身的都觉得难。但是考130分也不是没有可能，我本科室友就是电气跨考浙大的计算机，专业课132分，高分上岸，下面我结合我室友的复习规划来给大家做个高分指导：1、试卷内容分析408全称计算机专业基础综合总，共包括四门专业课的考察，分别是数 据结构、计…阅读全文​
工科到底该选什么专业呢?,一代版本一代神，没有永远的风口，但总有人会站在下一个风口，可惜绝大多数人只看得见当下。 过去几年是互联网的时代，但接下来几年的趋势会是集成电路、智能交通（自动驾驶）和新能源车，再往后是机器人，再远我就看不清了。 十几二十年前是基建时代，所以土木、建筑和电气最吃香；再后面通信火了一段时间；前几年是互联网时代，但今年也遭遇了寒冬。 集成电路毫无疑问就落在了微电子相关专业。 智能交通建设落在了交通运输、自…阅读全文​
如何最快最及时的查到调剂信息？,末流211一战调剂到厦门大学，我表示有技巧要分享！ 现在不要再沉浸在初试成绩不好的悲伤之中了，因为只要能参加调剂，你的考研并不算完全失利，还有很多逆袭上岸的机会！你每悲伤一秒，上岸的机会就被其他同学抢走一个，错过可能就是一辈子的幸福啊，我不信你会这么轻易的放弃。 你不要把调剂想得那么难，它只是多了收集信息的过程而已。重点在于：这个过程有很多操作的空间，你懂的，调剂有很多种玩法，如果没有老司机带你，新…阅读全文​
调剂打电话应该说些什么？,感谢 @知乎考研 的邀请。国务院的扩招18.9万的政策发布之后，教育部叫停了高校的考研预调剂，但对于多数专业来说扩招的可能性并不大，意味着无论是否扩招，都要考虑调剂的问题，嘎嘎。 有鉴于19考研调剂的快节奏，提前沟通联系调剂是今年考研人要上岸的关键操作！考研调剂的沟通有多重途径和方式，打电话也是其中一种，且打电话一般都是打给院校的研招办、院系办公电话等等。那么打电话该说些什么呢？这要看你打给谁了。 打给研…阅读全文​
如何最快最及时的查到调剂信息？,985研三在读，对于考研调剂的问题，真的是见过太多 ”遗憾退场“和”惊险上岸“的时刻，戏如人生，考研如戏，辛苦一年结果发现和目标院校还有一定差距，不得不再次卷入”调剂大军“的滚滚红尘，各位准研究生，你们辛苦了！ 熬夜撰写这篇攻略，爆肝细数那些”最新一手考研调剂信息途径”，接下来的23考研调剂，看这一篇就足够了！（能帮一个是一个！能捞一双是一双！就是这么自信！） 调剂玩的就是“信息差”，一个萝卜一个坑，你…阅读全文​
有资格参加调剂复试，面试前需不需要联系导师？,一定要联系，而且必须要联系如果说初试备考需要做好“信息准备”，那么考研调剂就是更为纯粹的“信息战”。 如果没有提前和院校老师联系，你可能会因此浪费调剂志愿。当有些人还在等着调剂系统开放时，有些学校已经结束了调剂复试录取工作，只需要等到系统开放走一遍流程，做做收尾工作。 等到系统开放后的信息确实更多更透明，但又有哪些不是在“走流程”？你如何去甄别？和一位导师能够保持联系，也能够及时了解院校的调剂招生…阅读全文​
喔24年二战计算机，应该怎么选学校?,谢邀，想想还是匿了。 大概能看出你的学习能力了，二战能提升100+的基本要有985的学习能力，我知道一个2021级一战300-二战400+成功上岸的浙大学长。对比一下你的情况，四级考了三次过的，考了460分。在校期间成绩在班里一直排前20名（班里60人左右）。这个如何评价呢？学习能力不到普通985学生的三分之一吧。我去年带了一个三本学生，最后三战没过国家线，他的智力没有问题，就是学习态度和学习方法有明显问题，这是个习惯是长年…阅读全文​
cs考研能否调剂到比一志愿更好的学校?,谢邀，匿了，我所在的某双非11408目前已知最高分已经410多，408早已过了360分985真情永不变的时代，370如果是一志愿，确实可以去211，但985风险极大，如果调剂的话计算机专业基本没有机会，理论上都不会有调剂名额，有的也只会是交叉学科，而且这些学校主要接受校内调剂，就是那些初试380+但复试被刷掉的那批。 你只考虑成绩这一相对双非而言的正面因素，忽略了目标更好的学校，不是一志愿，跨考，本科双非，无调剂名额等诸多负…阅读全文​
互联网寒冬到来，24届计算机考研人数是否显著下降?,"考研人数24不会显著下降，目前没有啥专业进行分流，所以显著下降？不可能的！ 不过仔细想想，难道还能一直涨下去吗？必不可能，高中生物都学过，只会""S""型曲线的。 [图片] 所以24可能是上升趋势变小，如果继续寒冬，可能之后就会下降了。不过那个时候估计是考研人数也在下降了。而且23就能看出来一点端倪，诸多名校计算机爆冷，除了网传图，还有北理计学计专、东南软专、东北计学，还有个大清！ [图片] 今年是除了几个热度高的学校爆了以外，还…阅读全文​"
计算机408考研目标100分能来得及吗?,如果你是科班出身，基础还行的话应该来的急 [图片] 这个学生是去年10月份找我一对一辅导的，我总共给他上了15节课 然后他408考了101分，没有考上目标院校，后来调剂去了华中师范大学 基础好的话可以直接给你讲经典题型和常见考点对应题型，这些题型你只要会了考个90到100没啥问题 而且这些题型不多，一般在考前一个月可以讲完。你先看书，实在不行，十月份找我把阅读全文​
互联网寒冬到来，24届计算机考研人数是否显著下降?,IT不等于互联网，即便互联网增速下降hc减少，还有很多行业的企业也会需要程序员，且互联网尽管寒冬了在互联网行业做开发薪资还是相对会比较高。 人数不大可能显著下降，应该会持平或者人数减少，但是难度仍然会上升。 但话说回来如果你说不卷计算机那卷什么专业呢？有人说为什么不在自己的专业领域卷，如果真的好卷，如果博士真的好读上去，大家也不会跑了，很多时候我们都坚持不到熬出头的时候，相比而言转码比继续读研读博成本…阅读全文​
成都理工大学计算机专业的教学实力怎么样？,国家级一流本科专业。国家级精品课程。 有几个部省级重点科研平台，还有一大批杰出校友资源。 学校是老牌部属重点高校，首批国家双一流高校。 楼上那个只能说明他孤陋寡闻。阅读全文​
如何评价22复旦工研院考研复试线以及难度？23计算机考研华五性价比对比如何？,年年分数线都在310左右，虽然招生名额不多，但新成立的学院，谁报谁上岸，数二英二，真·有手就行，考研真是选择大于努力啊，隔壁信息学院复试线都飙到384了阅读全文​
计科考研想考软件工程，算跨考吗?,小跨，但是不是问题，因为计算机是一级学科，软件也是一级学科，不过数据结构操作系统组成原理网络应该都学了的，问题不大阅读全文​
大名鼎鼎的清华大学计算机系列教材《数据结构(C语言版)》殷人昆著，第2版，这本教材该如何评价？,这里本书是给老师做教学大纲用的。不是给你学生自学用的 可明白？ 我们培训教师用的是这个，告诉我们知道哪里没有讲，结合本校人才方案，该讲哪里，哪里不讲，不会有遗漏阅读全文​
成电和科软哪个好考一点?,科软好像自从21级的分数炸了之后就没人敢报然后去年22好像是1400人？相当于是去年是抄底，那今年就会爆炸，一年人多一年人少找找大小年规律就行了。所以感觉要今年考科软比较难，成电没关注不太清楚、阅读全文​
408想考100分那些冷门知识点可以放弃?,定点数乘除法具体计算过程吧，不是说冷门，而是性价比低阅读全文​
如何评价22复旦工研院考研复试线以及难度？23计算机考研华五性价比对比如何？,我放三个不会被造假的小样本数据来实名劝退大家。 我本科网安，学不懂网安，研究生宁愿学机械力学搞机器人也不会去网安，头铁了。 [图片] [图片] 上面是某复旦计算机两千人大群投票。 下面是某公众号的付费投票情况。 [图片] 最后是我旁边的小样本，坐标某华东地区985，认识的人说要报复旦的十几个，一半多要冲工研。阅读全文​
计科考研想考软件工程，算跨考吗?,应该不算跨考，但计科考软工感觉有点亏啊。如果是考虑到408难度大放弃计科的话，可以换换学校，北科北交的计科都是两门自命题。阅读全文​
计算机考研?择校?,客观讲冲个985比较好，这两都不推荐，毕竟找工作进大厂没啥优势，并且如果你超常发挥分数比很多985名校分数线还高的话你会很后悔的（比如考北邮11408 380分会后悔为什么没报北大软微，后悔为什么求稳了，考杭电390+会后悔为啥不报浙大），建议问问自己内心自己的梦校是什么再做决定阅读全文​
大名鼎鼎的清华大学计算机系列教材《数据结构(C语言版)》殷人昆著，第2版，这本教材该如何评价？,在伟大的现代化进程中，有一小撮顽固分子非但没有与时俱进，紧跟党的步伐，竟然还安于故俗、溺于旧闻。这种闭关自守，泥古不化的行为是非常可耻的。 啊？你说教材？我看错题目了不好意思。阅读全文​
如何看待科软初试411分，复试被刷？,计算机硕士编程不行，这无论是从感性上还是理性上都说不过去。 408这门考试，不知道它是有点本末倒置，还是说它其实已经默认考生有基本的编程能力阅读全文​
如何看待科软初试411分，复试被刷？,没运气的倒霉蛋罢了，谁让运气也是实力的一部分呢？说不定好事，换方向吧，别计算机49年入国军了。阅读全文​
位扩展后编址方式变了吗?,目前计算机都是按字节编址，并没有按你说的两个三个字节用一个地址的情况。 如果是说对于像C语言中的变量的地址，应该理解为变量的首地址，也就是对于小端计算机（LE）是变量的最低字节所在的内存地址，对于高端计算机（BE）是变量的最高字节所在的内存地址。 这个很容易验证，输出两个连续定义的变量的地址，如果不是单字节变量，这两个地址是不连续的，差值就是变量所占的字节数。阅读全文​
如何看待科软初试411分，复试被刷？,计算机硕士编程不行，这无论是从感性上还是理性上都说不过去。 408这门考试，不知道它是有点本末倒置，还是说它其实已经默认考生有基本的编程能力阅读全文​
如何看待科软初试411分，复试被刷？,没运气的倒霉蛋罢了，谁让运气也是实力的一部分呢？说不定好事，换方向吧，别计算机49年入国军了。阅读全文​
位扩展后编址方式变了吗?,目前计算机都是按字节编址，并没有按你说的两个三个字节用一个地址的情况。 如果是说对于像C语言中的变量的地址，应该理解为变量的首地址，也就是对于小端计算机（LE）是变量的最低字节所在的内存地址，对于高端计算机（BE）是变量的最高字节所在的内存地址。 这个很容易验证，输出两个连续定义的变量的地址，如果不是单字节变量，这两个地址是不连续的，差值就是变量所占的字节数。阅读全文​
计算机考研复试项目经历?,谢邀，其实无论是什么项目，只要你能把其中关键的要素提取出来，理解清楚了流程就行，把他人的项目变成自己的项目也是需要智慧和功夫的，这个前提也是有了相当的经验积累和功力，说白了实际参加工作后你会发现，大部分时间都是在调研，理解前人做好的项目，然后改进，学习前人做的技术，理解后加以改进，这个过程本身也是非常值得的积累过程，站在巨人的肩膀上瞭望会才看的更远！ 思考为什么这么做？除了这么做还有其他方式方法…阅读全文​
计算机考研复试项目经历?,比如说有难度的校内课程设计，或者阅读课外书籍中的实验项目。比如我在简历就写了《手把手教你RISC-V处理器设计》中的开源蜂鸟eE203核的设计，面试的过程中老师也是一直问项目相关，比如你在这个项目中加入哪些自己的设计，以及这些设计所需要的相关基础知识。阅读全文​
一元多项式的乘法计算，为什么运行出来正确答案前面跟着一窜?,当进行一元多项式的乘法计算时，可能会出现一些额外的项（零次项或者系数为零的高次项），这些项会在计算过程中生成，但它们不应该对最终的结果产生影响。 例如当进行一元多项式的乘法计算时，让我们以以下两个多项式为例： P(x) = 2x^3 + 3x^2 + 4x + 1 Q(x) = x^2 + 2x + 3 要计算P(x) * Q(x)，我们将每个项相乘并进行合并： P(x) * Q(x) = (2x^3 + 3x^2 + 4x + 1) * (x^2 + 2x + 3) = 2x^5 + 4x^4 + 6x^3 + 3x^4 + 6x^3 + 9x^…阅读全文​
数据结构只有固定的几个吗？,首先，数据结构是《数据结构》课，不是《计算机组成原理》的内容。 数据结构侧重底层原理（比如考虑存储），数据类型侧重面向程序员的实操应用。数据结构与数据类型有重合混用的部分，这两个名词的区分，私以为是描述两种不同角度，而（大部分时间）不是描述两种不同东西。当它们是不同东西时，可构造出映射关系。比如元组数据类型可能对应散列表数据结构。 数据结构有常用的几个。在古早编程语言里，你可以自己造结构，比如c结…阅读全文​
数据结构只有固定的几个吗？,首先，什么是数据结构？ 数据结构是计算机存储、组织数据的方式。说白话，就是存储数据的结构。例如，假设我已经有代码实现了，我构造了一个染色的表格、构造了一个有向染色图结构、构造了一个某些性质的树，可以实现一些数列递推、数论计算。那么我算是构造了一个算法，但为什么不说我构造了一个数据结构呢？你提到的表格，图结构，树这类东西，就是属于数据结构。你利用这些数据结构去设计解决问题的步骤，这才叫算法。 数据结…阅读全文​
24计算机考研，选华南理工还是华科？,我广东人，如果都考得上，要我我选华科，华南理工在广东确实横着走，但是华科如果在广东你受的待遇不如华南理工，那这家企业你也没必要去。 但是还要考虑这两三年想在哪个城市生活的问题，我觉得这个是蛮重要的。阅读全文​
24计算机考研，选华南理工还是华科？,华科。在深圳 华科比华工更好使阅读全文​
都八月中旬了。数一基础还没学完，明智的是不是应该准备24考研，放弃23?,8月中旬很晚吗？ 数学二和英语二超级简单！过一遍上战场完全没有问题，还有4个月的时间，如果你复习不完，只能说明你不够努力，自暴自弃，完全就没花心思考研。思想政治的话现在不需要复习，9月份再开始来得及，多看一点考研经验，需要买哪些资料，所花的时间很少，掌握复习方法。 至于专业课，你这个样子，你别考408了，既然自己都觉得复习的不行， 那就换成一门工科即可。也别看不起双非了， 有些双非比你想考的985211就业强很…阅读全文​
都八月中旬了。数一基础还没学完，明智的是不是应该准备24考研，放弃23?,是有点迟了，但是也不是不可以拼一下，还有三个多月的时间，为什么不拼搏一把，建议拉长数二和408的学习时间，既然不想考双非就努力一点，408已经学得差不多了，接下来就是不断的刷题时间，复习的时候可以按照从难到易的方法刷，可以倍速看王道四门课的视频（你要是已经看过了就写王道的真题吧），可以将时间放在下午（考试就在下午，可以提前适应）。 考408的都是勇士，你加油吧，你已经学到了八月了，为什么不努力一点点呢，放…阅读全文​
陕西科技大学计算机考研819数据结构真题资料?,出 [图片]阅读全文​
现在填报计算机专业是否是一个正确的选择？,计算机这个学科有着自己的特点、适应人群和并不简单轻松的职业发展路径。本文将试图从专业学习、未来出路和生涯规划三个方面来介绍一下计算机专业的全貌。 首先声明一下 ，任何一行都会有各种各样的具体情况，作为一个个体很难绝对完善的覆盖各个方面，笔者亦不能免俗。这篇文章的某些观点仅代表个人意见，具体情况还希望多加调查以确保不要陷入个人偏见。 信息技术是当今信息社会非常基础的存在和生产力 ，也正因此，在很长的一…阅读全文​
计算机博士毕业年薪90w，老婆嫌我不上进要和我离婚，我该怎么挽回她？,兄弟，跟人交流要学会听人讲话。 如果你太太只是单纯的嫌你没本事，想离开你，寻找自己新的人生，那么她只会指责你。 或者说她不想等了，说她累了，烦了，想自己开始新的选择…… 但是她不是这么说的对吧。 但是她对你说了什么话呢？ 你贴的原文是： 【太太说她受够了这种（几乎）同龄人之间的感情，受够了需要和男方一起奋斗过漂泊无依的日子，受够了得不到大叔般关爱的共同成长。】 注意，这一段 指向性非常明确的话。什么叫指…阅读全文​
计算机专业香到什么程度了?,香到了现在上交硕士从百度毕业领盒饭(来源脉脉) 还有北大硕士从学某思毕业以后领盒饭(来源身边) Leetcode从2015年的200题目到今天的2300道题(公开数据) 嘻嘻，如果不是清华北大的，acm 选手觉得自己牛逼的，可以试一试在几万人参加的Google全球总决赛中拿到60名的成绩，然后去一个中厂做后台开发。B站真实事件() 香到了shopee 的股价从300滑落到70(美股搜索Sea ) 快手股价从400滑落到70 (搜索港股) 爱奇艺裁员40%，股价从20跌到4…阅读全文​
美国 CS 就业，大多数公司真的不看学校吗？,当然看，而且非常看。 举三个例子。 我一个哥们面Google，踩在线上，最后被拒了；Recruiter说，如果你是名校的，或是PhD毕业，基本上这个Offer能拿到。这叫做不看学校？ 另外一个就是我认识的名校出身的一个毕业生，水平是真的比较一般，属于亚麻微软的电面都过不了那种。但人最后去了某知名公司，比亚麻微软好，因为学校牌子和校友关系；混个几年，准备准备面试题，照样跳到FLAG走起吃香喝辣。你说名校不重要？ 还有当年毕业时…阅读全文​
互联网大厂都在裁员，23届计算机专业学生该怎么办?,历史的大机遇摆在眼前了，你看着办吧 大家都传说过那个谁谁早些年进了BAT，拿了股票，套现之后财务自由。 你会发现这些个谁谁好多都是 2009-2011年去的BAT 是他们高瞻远瞩，懂得把握机会吗？ 才不是，是因为2008金融危机之后，中国的外企普遍裁员或者冻结招聘，甚至有些关门退出中国了，才导致大量优秀毕业生不得已才选择了国内互联网公司。 你统计下就会发现，2008年之前入职的普遍学历一般，BAT都有大把普通本科的，但是2009年…阅读全文​
2023年填报计算机系，计划到北美工作，可行性强吗？,"几乎不可能。首先，美硕50万不一定拿得下，其次，现在北美在大规模lay off，经济形势很差。然后，计算机这么卷，211计算机专业算不得优势。你面对的还有985/C9的转码以及EE这种和计算机实际上没什么区别的专业。 润美计算机在十年前是有先见之明，两年前是显学，现在再这么规划就有点太过自信了。 另外,“考虑到国内女性程序员的待遇，我若选择计算机系，就会奔着去海外工作”，是否有点太过自信？国内女性程序员待遇实质上也不…阅读全文​"
为什么别选计算机专业？,告诉大家一个不幸的消息，计算机真的别选了你们是不能想象的，今年2022秋招都跟高考招生一个模子了，有什么秋招提前批，秋招正式批，我都算活久见，我说计算机炸了不是给大家制造焦虑？科大讯飞今年加起来600个岗位已经收到了23万份简历，网易十个研发岗位收到了超过十万份简历，字节，去年秋招8000 hc，就是人员啊，今年秋招3000 hc，美团去年一万人员，今年呢，只有5000个名额，很多互联网大厂，像腾讯，百度，有道等，九月初…阅读全文​
计算机专业要分流了，计算机科学与技术，软件工程，网络工程。我要何去何从？,最好让你大学毕业之后，你的毕业证上面是计算机专业，而不是软件工程，网络工程。 如果你毕业之后去面试一家嵌入式的公司，你的简历上的专业是软件工程，可能HR直接把你忽略了，为什么？因为你是软件的，软件很软，你对硬件一窍不通，因为嵌入式需要懂一些硬件，所以，你没有硬件基础，这个岗位，你不是合适的人选。我之前一个朋友，重点大学软件工程专业，投了成都一家通信设备公司简历，校招，他们专业的人，都没有收到笔试通…阅读全文​
为什么有人劝别选计算机专业?,来小兄弟，我来告诉你为什么别选计算机专业，计算机已经不是随便培训下就能年入百万的年代了。 首先第一点大厂工资是很高不假，但是你能进大厂吗？ 想进大厂首先你要读一个211，至少也是重邮、杭电这种双非。 大一你要提前通关408所有基础知识，并且掌握java语言，熟悉ssm框架，并能独立开发一个小项目。 大二你要在无师自通的境况下学习一遍kafka、RabbitMQ、Redis、Elasticsearch、Memcached、Dubbo、Zookeeper……等技术，最…阅读全文​
计算机硕士一般有多少薪水？,我接触到的计算机硕士，22年上海的行情，一般在15k到25k之间，相对比计算机本科生，会高个2到3成。 1 有位同学，学校不错，211，校招进了大厂，均摊下来年入大概27，28w的样子，听他说，大厂第一年，计算机硕士，要到30w今年一般算到头了，这个学历专业，干个3年能到40w。 2 有位一般学校的硕士，进了一家互联网公司，不过赛道不错，是算法方面，拿到年入25w。 3 也有人直接去了外企，大概是18k第一年，外企人舒服，但薪资比不上…阅读全文​
